id,Name,Requirements,manp,ammo,ration,parts,CmEXP,TDoll contract,EQuip contract,Quick Produce,Quick Repair,Token,Core,Battery,Fr.Point,Cal.Ticket,Orig.Sample,Pure Sample,QAT
1,Daily:Symbolic Victory,Clear any map once.,50,50,50,10,10,,,,,,,,,,,,
2,Daily:Three-Stage Victory,Clear any map 3 times.,100,100,100,30,15,,,,,,,,,,,,
3,Daily:Winning Streak,Clear any map 5 times.,200,200,200,100,20,,,,,1,1,,,,,,
4,Daily:Doll Deposit,Produce 1 T-Doll.,50,50,50,50,10,1,,,,,,,,,,,
5,Daily:Doll Extension,Produce 3 T-Dolls.,200,200,200,200,20,2,,1,,1,1,,,,,,
6,Daily:Minor Support,Complete 1 Logistic Support mission.,50,50,,,10,,,,,,,,,,,,
7,Daily:Regular Support,Complete 3 Logistic Support missions.,100,100,,,15,,,,1,,,,,,,,
8,Daily:Full Support,Complete 10 Logistic Support missions.,200,200,,,20,1,,1,2,,,,,,,,
9,Daily:Minor Enhancement,Perform 1 T-Doll Enhancement.,30,30,30,30,10,,1,,,,,,,,,,
10,Daily:Regular Enhancement,Perform 3 T-Doll Enhancements.,50,50,50,50,20,1,2,,,,1,,,,,,
11,Daily:Minor Repair,Repair T-Doll 3 times.,100,,,30,10,,,,,,,,,,,,
12,Daily:Regular Repair,Repair T-Doll 10 times.,150,,,50,15,,,,1,,,,,,,,
13,Daily:Full Repair,Repair T-Doll 15 times.,200,,,100,20,,,,2,1,,,,,,,
15,Daily:Minor Simulation,Complete 1 Combat Simulation.,40,40,40,40,15,,,,,,,,,,,,
16,Daily:Regular Simulation,Complete 3 Combat Simulations.,120,120,120,120,25,,,,1,1,,,,,,,
17,Daily:Weapon Deposit,Produce 1 piece of equipment.,30,30,30,30,10,,1,,,,,,,,,,
18,Daily:Weapon Extension,Produce 3 pieces of equipment.,100,100,100,100,20,,2,1,,1,,,,,,,
25,Daily:Weapon Enhancement,Perform 1 Equipment Enhancement.,30,30,30,30,10,,1,,,,,,,,,,
26,Daily:Weapon Upgrade,Perform 3 Equipment Enhancements.,50,50,50,50,20,,1,1,,,,,,,,,
27,Daily:Joint Development,Visit a friend's dorm and collect batteries 5 times.,,,,,10,,,,,,,20,,,,,
28,Daily:Joint Operation,Use a friend's Support Echelon 5 times.,50,50,50,10,10,,,,,,,,20,,,,
29,Daily:Small Analysis,Conduct Intelligence Analysis once,,,,,,,,,,,,,,,10,,
30,Daily:Regular Analysis,Conduct Intelligence Analysis 3 times,,,,,,,,,,,,,,,,10,1
1,Weekly:Chief Nursing Officer,Repair T-Doll 100 times.,1000,,,300,50,,,,5,,,,,,,,
2,Weekly:Machine Terminator,Eliminate 200 normal machine type S.F. enemies.,500,1000,1000,200,100,,,,3,,1,,,,,,
3,Weekly:Humanoid Nemesis,Eliminate 200 normal humanoid type S.F. enemies.,500,1000,1000,200,100,,,,3,,1,,,,,,
4,Weekly:Big Game Hunter,Eliminate 10 BOSS type enemies.,500,1000,1000,200,100,,,,3,2,1,,,,,,
5,Weekly:Ace Support,Complete 50 Logistic Support missions.,200,200,200,200,50,3,,3,,,,,,,,,
6,Weekly:Battle Master,Complete 100 battles with S rank.,1000,1000,1000,1000,100,1,,,,2,,,,,,,
7,Weekly:Upgrade Crackerjack,Perform 20 T-Doll enhancements.,200,200,200,200,50,,,1,1,,,,,,,,
8,Weekly:Doll Competition,Produce 20 T-Dolls.,300,300,300,300,50,5,,1,,,2,,,,,,
9,Weekly:Strict Instructor,Undergo T-Doll Skill Training 5 times.,200,200,200,200,50,,,1,1,1,,,,,,,
10,Weekly:Electronical Warrior,Complete 20 Combat Simulations.,500,500,500,200,100,,,2,2,,,,,,,,
11,Weekly:Armed Front,Produce 20 pieces of equipment.,150,150,150,150,50,,5,2,,,,,,,,,
12,Weekly:Armor Chaser,Eliminate 200 armored machine type S.F enemies.,500,1000,1000,200,100,,2,,,,,,,,,,
13,Weekly:Iron Man Killer,Eliminate 200 armored humanoid type S.F enemies.,500,1000,1000,200,100,,2,,,,,,,,,,
14,Weekly:Heavy Expansion,Use T-Doll Heavy Production once.,200,200,200,200,50,1,,1,,,1,,,,,,
15,Weekly:Equipment Innovation,Perform 5 Equipment Calibrations.,150,150,150,150,50,,2,1,,,,,,,,,
16,Weekly:Equipment Enhancement,Perform 20 Equipment Enhancements,200,200,200,200,50,,,1,1,,,,,,,,
17,Weekly:Automation Attempt,Use Equipment Heavy Production 3 times.,300,300,300,300,100,,,,,,2,,,,,,
18,Weekly:Programming Master,Perform 3 Fairy Calibrations.,150,150,150,150,50,,,,,,,,,20,,,
19,Weekly:Support Expert,Perform 1 Fairy Enhancement.,150,150,150,150,50,,1,1,,,,,,,,,
20,Weekly:Data Analyst,Conduct Intelligence Analysis 20 times.,,,,,,,,,,,,,,,30,10,
21,Weekly:Chipset Tinkerer,Spend 20 chips through Chip Enhancement.,,,,,,,,,,,,,,,30,10,3